,total_cup_points,species,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,sweetness,altitude_mean_meters,moisture,specialty
1,89.92,Arabica,Other,Other,8.75,8.5,8.58,8.42,8.42,10.0,2075.0,0.12,Yes
2,89.75,Arabica,Guatemala,Bourbon,8.42,8.42,8.42,8.33,8.42,10.0,1700.0,0.0,Yes
4,88.83,Arabica,Other,Other,8.25,8.25,8.5,8.42,8.33,10.0,2075.0,0.12,Yes
9,88.25,Arabica,Other,Other,8.08,8.5,8.5,7.67,8.42,10.0,1822.5,0.1,Yes
11,87.92,Arabica,Other,Other,8.25,8.17,8.33,8.08,8.17,10.0,1872.0,0.0,Yes
12,87.92,Arabica,Other,Other,8.08,8.33,8.42,8.0,8.08,10.0,1943.0,0.0,Yes
15,87.58,Arabica,Other,Other,8.0,8.58,8.17,8.17,8.0,10.0,2080.0,0.0,Yes
18,87.25,Arabica,Other,Other,8.42,8.08,8.17,7.92,8.0,10.0,1450.0,0.1,Yes
19,87.25,Arabica,Other,Other,8.17,8.0,8.17,8.08,8.33,10.0,1850.0,0.0,Yes
20,87.25,Arabica,Other,Other,8.0,8.08,8.5,8.25,8.0,10.0,2019.0,0.0,Yes
21,87.17,Arabica,Other,Caturra,8.08,8.0,8.17,8.0,8.33,10.0,1300.0,0.11,Yes
22,87.17,Arabica,Mexico,Other,8.17,8.17,8.0,7.83,8.17,10.0,1320.0,0.13,Yes
23,87.08,Arabica,Other,Other,8.25,8.17,8.17,7.83,8.17,10.0,2112.0,0.0,Yes
25,86.92,Arabica,Brazil,Bourbon,8.5,8.0,8.0,8.0,8.0,10.0,1250.0,0.12,Yes
27,86.83,Arabica,Other,Other,8.42,8.17,8.17,7.83,7.92,10.0,1950.0,0.12,Yes
28,86.67,Arabica,Other,Caturra,8.17,8.08,8.0,8.08,8.0,10.0,1400.0,0.1,Yes
29,86.58,Arabica,Taiwan,Other,8.0,8.0,8.25,8.0,8.17,10.0,1200.0,0.0,Yes
32,86.42,Arabica,Brazil,Bourbon,8.5,8.0,7.75,8.0,8.0,10.0,1300.0,0.12,Yes
