source,text,created_at,retweet_count,favorite_count
Twitter for Android,"I would like to wish everyone A HAPPY AND HEALTHY NEW YEAR. WE MUST ALL WORK TOGETHER TO, FINALLY, MAKE AMERICA SAFE AGAIN AND GREAT AGAIN!",2015-12-31 18:21:49,6776,16495
Twitter for Android,"Do you believe that The State Department, on NEW YEAR'S EVE, just released more of Hillary's e-mails. They just want it all to end. BAD!",2015-12-31 18:11:35,2755,6824
Twitter for iPhone,THANK YOU ILLINOIS! Let's not forget to get family &amp; friends- out to VOTE IN 2016! https://t.co/lg5kMbNLYK https://t.co/dtMAsIq4cf,2015-12-31 13:51:12,2468,6047
Twitter for iPhone,"HAPPY BIRTHDAY to my son, @DonaldJTrumpJr! Very proud of you! #TBT https://t.co/ULerCEOCGX https://t.co/nbxPVdarJM",2015-12-31 11:52:38,2080,8416
Twitter for Android,I would feel sorry for @JebBush and how badly he is doing with his campaign other than for the fact he took millions of $'s of hit ads on me,2015-12-31 10:07:18,1875,5780
Twitter for iPhone,#MakeAmericaGreatAgain #Trump2016 https://t.co/IEIXos0wh9,2015-12-31 07:51:35,2285,5729
Twitter for Android,"People ask, ""why do you tweet and re-tweet to millions about @JebBush when he is so low in the polls?"" Because of his big $ hit ads on me!",2015-12-31 05:04:36,1359,4248
Twitter for Android,".@JebBush has spent  $63,000,000 and is at the bottom of the polls. I have spent almost nothing and am at the top. WIN!  @hughhewitt",2015-12-31 00:10:16,2374,6655
Twitter for Android,A GREAT day in South Carolina. Record crowd and fantastic enthusiasm. This is now a movement to MAKE AMERICA GREAT AGAIN!,2015-12-30 23:15:32,1706,5715
Twitter for Android,"I predict that dying @UnionLeader newspaper, which has been run into the ground by publisher ""Stinky"" Joe McQuaid, will be dead in 2 years!",2015-12-30 23:11:37,897,3261
Twitter for iPhone,A lovely letter from the daughter of the late great John Wayne. Our country could use a John Wayne right now. https://t.co/RhN5gVNBqM,2015-12-30 16:57:02,2951,6992
Twitter for iPhone,"Great poll- thank you Nevada!
#MakeAmericaGreatAgain #Trump2016 https://t.co/9Lr1v6vjJb",2015-12-30 16:22:22,1728,4376
Twitter for iPhone,I'm going to be live with @ericbolling and @kimguilfoyle to ring in the New Year 2016. Everybody should tune in to @foxnews tomorrow night!,2015-12-30 15:28:58,2050,5247
Twitter for iPhone,"Thank you Hilton Head, South Carolina! #MakeAmericaGreatAgain #Trump2016 https://t.co/TBAD5MeYCE",2015-12-30 15:04:39,1493,4420
Twitter for iPhone,"Thank you Hilton Head, South Carolina! @SCTeamTrump #Trump2016 https://t.co/RLCz17tIas https://t.co/L5IAlbsdkw",2015-12-30 13:28:44,1227,3705
Twitter for Android,"I never thought I'd be saying this but I've really enjoyed  @RichLowry on television lately, and he was terrific hosting @seanhannity",2015-12-30 10:52:41,912,3279
Twitter for iPhone,"Joe McQuaid (@deucecrew) is desperately trying to sell the @UnionLeader. It's a loser, and my comments haven't helped him much.",2015-12-30 10:22:44,766,2488
Twitter for iPhone,The dying @UnionLeader newspaper in NH is in turmoil over my comments about them- like a bully that got knocked out!,2015-12-30 09:06:34,1052,3166
Twitter for Android,"Iowa was fantastic last night, amazing crowd and people. I'm now in Florida, getting ready to go to South Carolina. Big crowd, very exciting",2015-12-30 08:08:07,1317,4686
Twitter for Android,.@CharlesHurt   You were great on @seanhannity last night. Thanks for the nice words. MAKE AMERICA GREAT AGAIN!,2015-12-30 07:31:59,699,2555
Twitter for iPhone,"THANK YOU Council Bluffs, Iowa! The silent majority, is silent no more!
#Trump2016 #FITN https://t.co/VTAe68eQ1k https://t.co/IPsJPVH5JP",2015-12-29 23:02:06,2427,6461
Twitter for iPhone,"Joe McQuaid (@deucecrew) of the dying Union Leader wanted ads, lunches, donations, speeches from me, and tweets---very unethical.",2015-12-29 19:37:25,1121,3397
Twitter for iPhone,"The great people of New Hampshire, who I love, are not properly served by the dying Union Leader newspaper.",2015-12-29 19:37:11,1235,3793
Twitter for iPhone,Shows how dumb Joe McQuaid (@deucecrew) of the dying Union Leader is to put out the letter I wrote saying why I didn't do his failed debate!,2015-12-29 19:36:45,849,2810
Twitter for iPhone,"I hope @TGowdySC does better for Rubio than he did at the #Benghazi hearings, which were a total disaster for Republicans &amp; America!",2015-12-29 15:36:35,2194,5144
Twitter for Android,"So, I have spent almost nothing on my run for president and am in 1st place. Jeb Bush has spent $59 million &amp; done. Run country my way!",2015-12-29 09:39:30,4172,10349
