Date,Revenue
2022-03-31,18756.0
2021-12-31,17719.0
2021-09-30,13757.0
2021-06-30,11958.0
2021-03-31,10389.0
2020-12-31,10744.0
2020-09-30,8771.0
2020-06-30,6036.0
2020-03-31,5985.0
2019-12-31,7384.0
2019-09-30,6303.0
2019-06-30,6350.0
2019-03-31,4541.0
2018-12-31,7226.0
2018-09-30,6824.0
2018-06-30,4002.0
2018-03-31,3409.0
2017-12-31,3288.0
2017-09-30,2985.0
2017-06-30,2790.0
2017-03-31,2696.0
2016-12-31,2285.0
2016-09-30,2298.0
2016-06-30,1270.0
2016-03-31,1147.0
2015-12-31,1214.0
2015-09-30,937.0
2015-06-30,955.0
2015-03-31,940.0
2014-12-31,957.0
2014-09-30,852.0
2014-06-30,769.0
2014-03-31,621.0
2013-12-31,615.0
2013-09-30,431.0
2013-06-30,405.0
2013-03-31,562.0
2012-12-31,306.0
2012-09-30,50.0
2012-06-30,27.0
2012-03-31,30.0
2011-12-31,39.0
2011-09-30,58.0
2011-06-30,58.0
2011-03-31,49.0
2010-12-31,36.0
2010-09-30,31.0
2010-06-30,28.0
2010-03-31,21.0
2009-09-30,46.0
2009-06-30,27.0
